,Local Authority Filled
0,Birmingham City Council
1,Birmingham City Council
2,Leicestershire County Council/North West Leicestershire District Council
3,Devon County Council/North Devon Council
4,Worcestershire County Council/Wyre Forest District Council
5,Birmingham City Council
6,St Helens Council
7,Leeds City Council
8,London Borough of Enfield
9,Inverclyde Council
10,No Local Council Data Available
11,No Local Council Data Available
12,Suffolk County Council/East Suffolk District Council
13,East Sussex County Council/Hastings Borough Council
14,North Ayrshire Council
15,Warrington Borough Council
16,South Tyneside Council
17,Powys County Council
18,Lincolnshire County Council/East Lindsey District Council
19,Glasgow City Council
20,Kent County Council/Tonbridge and Malling Borough Council
21,London Borough of Havering
22,Derbyshire County Council/Derbyshire Dales District Council
23,Somerset County Council
24,London Borough of Camden
25,Derby City
26,Sunderland City Council
27,West Dunbartonshire Council
28,Hampshire County Council/Basingstoke and Deane Borough Council
29,Blackpool Borough Council
30,Norfolk County Council/Norwich City Council
31,Oxfordshire County Council/Oxford City Council
32,North Tyneside Council
33,Falkirk Council
34,Pembrokeshire County Council
35,Pembrokeshire County Council
36,London Borough of Hounslow
37,No Local Council Data Available
38,Staffordshire County Council/South Staffordshire Council
39,Norfolk County Council/Great Yarmouth Borough Council
40,West Northamptonshire Council
