,Match_Weight_List_Agg,Account_Number,Other,Casino,Full_Address
0,,1034,,,"1 COMMERCIAL STREET, NAN, LONDON, E1 6BF"
1,,50352,,,"106 BROMLEY, NAN, BRIERLEY HILL, DY5 4PJ"
2,,3266,,,"11 BEASTFAIR, NAN, PONTEFRACT, WF18 1AL"
3,MW: 29.52117193770479 / MW: 22.7089843340475,44564,1.0,0.0,"123 SHERLOCK STREET, NAN, BIRMINGHAM, B5 6NB"
4,MW: 28.43705721596424,44564,1.0,0.0,"125 SHERLOCK STREET, NAN, BIRMINGHAM, B5 6NG"
5,,2198,,,"146 WOODWAY LANE, WALSGRAVE, COVENTRY, CV2 2EJ"
6,,1034,,,"157 BRAMLEY ROAD, OAKWOOD, LONDON, N14 4XA"
7,,46777,,,"18-19 WORCESTER STREET, NAN, KIDDERMINSTER, DY10 1ED"
8,,46777,,,"182 HIGH STREET, NAN, WEST BROMWICH, B70 7QS"
9,MW: 31.80578393073608,46777,0.0,0.0,"182 HIGH STREET, NAN, WEST BROMWICH, B70 7QS"
